project_id,name,url,category,subcategory,location,status,goal,pledged,funded_percentage,backers,funded_date,levels,reward_levels,updates,comments,duration
126581,Educational Online Trading Card Game,http://www.kickstarter.com/projects/972789543/education-enrichment-via-a-custom-online-super-her,Games,Board & Card Games,"Maplewood, NJ",failed,4000.0,20.0,0.005,2,2010-08-02 03:59:00+00:00,5,"$1,$5,$10,$25,$50",6,0,47.18
3656699,"Time, Space and Bullets! board game",http://www.kickstarter.com/projects/TimPark/time-space-and-bullets-board-game,Games,Board & Card Games,"San Rafael, CA",failed,7500.0,0.0,0.0,0,2010-11-01 20:06:08+00:00,5,"$15,$25,$50,$100,$500",0,0,60.0
3702708,Titans of Industry Board Game,http://www.kickstarter.com/projects/gozergames/titans-of-industry-board-game,Games,Board & Card Games,"Chicago, IL",successful,30000.0,30388.0,1.012933333,244,2012-05-21 03:00:00+00:00,11,"$10,$25,$55,$80,$100,$150,$225,$250,$500,$2,000,$3,500",10,34,44.42
4326268,Free RPG Day Pathfinder Adventure from Gaming Paper,http://www.kickstarter.com/projects/gamingpaper/free-rpg-day-pathfinder-adventure-from-gaming-pape,Games,Board & Card Games,"Grand Rapids, MI",successful,1000.0,2665.0,2.66466,120,2012-04-16 01:00:00+00:00,5,"$6,$15,$28,$34,$95",7,19,18.1
6296368,The Bigfoot Project,http://www.kickstarter.com/projects/1175768419/the-bigfoot-project,Games,Board & Card Games,"Chicago, IL",failed,2000.0,278.0,0.139,11,2012-05-01 02:00:00+00:00,8,"$1,$5,$15,$30,$50,$75,$150,$400",2,0,55.04
7965283,Passing Shot: Dice Tennis Game,http://www.kickstarter.com/projects/674003445/passing-shot-dice-tennis-game,Games,Board & Card Games,"Indianapolis, IN",successful,500.0,813.0,1.626,30,2012-01-28 18:54:07+00:00,8,"$13,$20,$22,$27,$28,$36,$46,$64",1,1,30.0
9425821,Flare and the League of Champions Role-Playing Card Game,http://www.kickstarter.com/projects/346915533/flare-and-the-league-of-champions-rpg-card-game,Games,Board & Card Games,"Long Beach, CA",failed,7500.0,75.0,0.01,3,2010-07-25 21:45:00+00:00,4,"$5,$25,$100,$1,000",0,1,36.98
10210001,Imperial Crusade Armada: A Unique Space Combat Game,http://www.kickstarter.com/projects/139696320/imperial-crusade-armada-a-unique-space-combat-game,Games,Board & Card Games,"Fountain Valley, CA",successful,2000.0,8016.0,4.008,217,2011-11-16 01:47:00+00:00,7,"$20,$30,$35,$60,$130,$130,$500",24,40,60.04
11614984,Hench: The Game,http://www.kickstarter.com/projects/theandyerickson/hench-the-game,Games,Board & Card Games,"Davenport, IA",failed,5000.0,600.0,0.12,25,2011-12-27 16:45:13+00:00,8,"$5,$10,$20,$30,$35,$40,$200,$1,000",7,1,55.04
11964132,Tai Chi and Kung Fu Come Alive in Figurines &amp; Chess Set,http://www.kickstarter.com/projects/730991848/tai-chi-and-kung-fu-come-alive-in-figurines-and-ch,Games,Board & Card Games,"Wellford, SC",failed,46900.0,775.0,0.01652452,7,2012-05-17 16:11:07+00:00,7,"$10,$25,$50,$100,$500,$1,000,$3,000",1,0,30.0
13692592,The 'Planet Kit',http://www.kickstarter.com/projects/1741730267/the-planet-kit,Games,Board & Card Games,"Phoenix, AZ",failed,88000.0,491.0,0.005579545,8,2012-03-08 02:20:01+00:00,8,"$5,$10,$25,$50,$150,$250,$1,500,$5,000",2,0,40.0
18034477,The Manhattan Project - Board Game,http://www.kickstarter.com/projects/miniongames/the-manhattan-project-board-game,Games,Board & Card Games,"Milwaukee, WI",successful,5000.0,8684.0,1.736754,143,2011-08-16 04:59:00+00:00,11,"$1,$49,$55,$65,$89,$95,$125,$129,$135,$225,$250",20,3,33.95
